category,vec_1,vec_2,vec_3,true,pred,similarity
capital-common-countries,Baghdad,Iraq,Ottawa,Canada,Prime_Minister_Jean_Chrétien,0.5704856514930725
capital-common-countries,Baghdad,Iraq,Paris,France,France,0.6203721761703491
capital-common-countries,Baghdad,Iraq,Rome,Italy,Italy,0.5362657904624939
capital-common-countries,Baghdad,Iraq,Stockholm,Sweden,Sweden,0.5907801985740662
capital-common-countries,Baghdad,Iraq,Tehran,Iran,Iran,0.8114985227584839
capital-common-countries,Baghdad,Iraq,Tokyo,Japan,Japan,0.7056294679641724
capital-common-countries,Baghdad,Iraq,Athens,Greece,Greece,0.5793530344963074
capital-common-countries,Bangkok,Thailand,Beijing,China,China,0.8263984322547913
capital-common-countries,Bangkok,Thailand,Berlin,Germany,Germany,0.729519784450531
capital-common-countries,Bangkok,Thailand,Bern,Switzerland,Switzerland,0.5047770738601685
capital-common-countries,Bangkok,Thailand,Cairo,Egypt,Egypt,0.8118714094161987
capital-common-countries,Bangkok,Thailand,Canberra,Australia,Australia,0.7154911756515503
capital-common-countries,Bangkok,Thailand,Hanoi,Vietnam,Viet_Nam,0.7700591683387756
capital-common-countries,Bangkok,Thailand,Havana,Cuba,Cuba,0.8007405996322632
capital-common-countries,Bangkok,Thailand,Helsinki,Finland,Finland,0.7515275478363037
capital-common-countries,Bangkok,Thailand,Islamabad,Pakistan,Pakistan,0.7976752519607544
capital-common-countries,Bangkok,Thailand,Kabul,Afghanistan,Afghanistan,0.6666890382766724
capital-common-countries,Bangkok,Thailand,London,England,Britain,0.6576253175735474
capital-common-countries,Bangkok,Thailand,Madrid,Spain,Spain,0.7655300498008728
capital-common-countries,Bangkok,Thailand,Moscow,Russia,Russia,0.8613656163215637
capital-common-countries,Bangkok,Thailand,Oslo,Norway,Norway,0.7142738103866577
capital-common-countries,Bangkok,Thailand,Ottawa,Canada,Canada,0.6684818863868713
capital-common-countries,Bangkok,Thailand,Paris,France,France,0.7388159036636353
capital-common-countries,Bangkok,Thailand,Rome,Italy,Italy,0.6863129734992981
capital-common-countries,Bangkok,Thailand,Stockholm,Sweden,Sweden,0.7587180137634277
capital-common-countries,Bangkok,Thailand,Tehran,Iran,Iran,0.8363438248634338
capital-common-countries,Bangkok,Thailand,Tokyo,Japan,Japan,0.8282637596130371
capital-common-countries,Bangkok,Thailand,Athens,Greece,Greece,0.6765021681785583
capital-common-countries,Bangkok,Thailand,Baghdad,Iraq,Iraqi,0.6885136365890503
capital-common-countries,Beijing,China,Berlin,Germany,Germany,0.7232259511947632
capital-common-countries,Beijing,China,Bern,Switzerland,Bern_NC,0.4655817151069641
capital-common-countries,Beijing,China,Cairo,Egypt,Egypt,0.7653075456619263
capital-common-countries,Beijing,China,Canberra,Australia,Australia,0.7234393954277039
capital-common-countries,Beijing,China,Hanoi,Vietnam,Viet_Nam,0.7793148159980774
capital-common-countries,Beijing,China,Havana,Cuba,Cuba,0.7189655900001526
capital-common-countries,Beijing,China,Helsinki,Finland,Finland,0.7141392827033997
capital-common-countries,Beijing,China,Islamabad,Pakistan,Pakistan,0.806240439414978
capital-common-countries,Beijing,China,Kabul,Afghanistan,Afghan,0.6770888566970825
capital-common-countries,Beijing,China,London,England,UK,0.6304796934127808
capital-common-countries,Beijing,China,Madrid,Spain,Spain,0.7320306301116943
capital-common-countries,Beijing,China,Moscow,Russia,Russia,0.8579801321029663
capital-common-countries,Beijing,China,Oslo,Norway,Norway,0.6628976464271545
capital-common-countries,Beijing,China,Ottawa,Canada,Canada,0.6537172198295593
capital-common-countries,Beijing,China,Paris,France,France,0.7109121084213257
capital-common-countries,Beijing,China,Rome,Italy,Italy,0.6637485027313232
capital-common-countries,Beijing,China,Stockholm,Sweden,Sweden,0.7026645541191101
capital-common-countries,Beijing,China,Tehran,Iran,Iran,0.8262744545936584
capital-common-countries,Beijing,China,Tokyo,Japan,Japan,0.823669970035553
capital-common-countries,Beijing,China,Athens,Greece,Greece,0.6515147686004639
capital-common-countries,Beijing,China,Baghdad,Iraq,Mosul,0.7041884660720825
capital-common-countries,Beijing,China,Bangkok,Thailand,Thailand,0.8047245740890503
capital-common-countries,Berlin,Germany,Bern,Switzerland,Switzerland,0.6095317602157593
capital-common-countries,Berlin,Germany,Cairo,Egypt,Egypt,0.6912307739257812
capital-common-countries,Berlin,Germany,Canberra,Australia,Australia,0.7485095858573914
capital-common-countries,Berlin,Germany,Hanoi,Vietnam,Viet_Nam,0.6875088810920715
capital-common-countries,Berlin,Germany,Havana,Cuba,Cuba,0.6961181163787842
capital-common-countries,Berlin,Germany,Helsinki,Finland,Finland,0.7654491662979126
capital-common-countries,Berlin,Germany,Islamabad,Pakistan,Pakistan,0.7597626447677612
capital-common-countries,Berlin,Germany,Kabul,Afghanistan,Afghan,0.6450541019439697
capital-common-countries,Berlin,Germany,London,England,UK,0.6597432494163513
capital-common-countries,Berlin,Germany,Madrid,Spain,Spain,0.7768210172653198
capital-common-countries,Berlin,Germany,Moscow,Russia,Russia,0.810738205909729
capital-common-countries,Berlin,Germany,Oslo,Norway,Norway,0.7291737198829651
capital-common-countries,Berlin,Germany,Ottawa,Canada,Canada,0.6773227453231812
capital-common-countries,Berlin,Germany,Paris,France,France,0.7884094715118408
capital-common-countries,Berlin,Germany,Rome,Italy,Italy,0.7509608268737793
capital-common-countries,Berlin,Germany,Stockholm,Sweden,Sweden,0.8022657632827759
capital-common-countries,Berlin,Germany,Tehran,Iran,Iran,0.7747757434844971
capital-common-countries,Berlin,Germany,Tokyo,Japan,Japan,0.7969786524772644
capital-common-countries,Berlin,Germany,Athens,Greece,Greece,0.6390470862388611
capital-common-countries,Berlin,Germany,Baghdad,Iraq,Mosul,0.686406135559082
capital-common-countries,Berlin,Germany,Bangkok,Thailand,Thailand,0.768083393573761
capital-common-countries,Berlin,Germany,Beijing,China,China,0.7755852937698364
capital-common-countries,Bern,Switzerland,Cairo,Egypt,Egypt,0.5989274978637695
capital-common-countries,Bern,Switzerland,Canberra,Australia,Australia,0.6860505938529968
capital-common-countries,Bern,Switzerland,Hanoi,Vietnam,Viet_Nam,0.5609369874000549
capital-common-countries,Bern,Switzerland,Havana,Cuba,Cuba,0.6295959949493408
capital-common-countries,Bern,Switzerland,Helsinki,Finland,Finland,0.6637657880783081
capital-common-countries,Bern,Switzerland,Islamabad,Pakistan,Pakistan,0.6708025336265564
capital-common-countries,Bern,Switzerland,Kabul,Afghanistan,Afghanistan,0.5338183641433716
capital-common-countries,Bern,Switzerland,London,England,EURASIAN_NATURAL_RESOURCES_CORP.,0.5463826060295105
capital-common-countries,Bern,Switzerland,Madrid,Spain,Spain,0.6423718333244324
capital-common-countries,Bern,Switzerland,Moscow,Russia,Russia,0.6487589478492737
capital-common-countries,Bern,Switzerland,Oslo,Norway,Norway,0.6448377966880798
capital-common-countries,Bern,Switzerland,Ottawa,Canada,Canada,0.6468111872673035
capital-common-countries,Bern,Switzerland,Paris,France,France,0.6129554510116577
capital-common-countries,Bern,Switzerland,Rome,Italy,Italy,0.6486325860023499
capital-common-countries,Bern,Switzerland,Stockholm,Sweden,Sweden,0.6849664449691772
capital-common-countries,Bern,Switzerland,Tehran,Iran,Iran,0.6813834309577942
capital-common-countries,Bern,Switzerland,Tokyo,Japan,Japan,0.6434274911880493
capital-common-countries,Bern,Switzerland,Athens,Greece,Greece,0.5800100564956665
capital-common-countries,Bern,Switzerland,Baghdad,Iraq,Iraqi,0.5730240345001221
capital-common-countries,Bern,Switzerland,Bangkok,Thailand,Thailand,0.6617313623428345
capital-common-countries,Bern,Switzerland,Beijing,China,China,0.6225298643112183
capital-common-countries,Bern,Switzerland,Berlin,Germany,Germany,0.7138351202011108
capital-common-countries,Cairo,Egypt,Canberra,Australia,Australia,0.6811555027961731
capital-common-countries,Cairo,Egypt,Hanoi,Vietnam,Viet_Nam,0.7589390873908997
capital-common-countries,Cairo,Egypt,Havana,Cuba,Cuba,0.763901948928833
capital-common-countries,Cairo,Egypt,Helsinki,Finland,Finland,0.7256740927696228
capital-common-countries,Cairo,Egypt,Islamabad,Pakistan,Pakistan,0.8155921101570129
capital-common-countries,Cairo,Egypt,Kabul,Afghanistan,Afghan,0.6829640865325928
capital-common-countries,Cairo,Egypt,London,England,Britain,0.6454266905784607
capital-common-countries,Cairo,Egypt,Madrid,Spain,Spain,0.7469130754470825
capital-common-countries,Cairo,Egypt,Moscow,Russia,Russia,0.842657208442688
capital-common-countries,Cairo,Egypt,Oslo,Norway,Norway,0.6975642442703247
capital-common-countries,Cairo,Egypt,Ottawa,Canada,Canada,0.6659148335456848
capital-common-countries,Cairo,Egypt,Paris,France,France,0.7114198803901672
capital-common-countries,Cairo,Egypt,Rome,Italy,Italy,0.6812829971313477
capital-common-countries,Cairo,Egypt,Stockholm,Sweden,Sweden,0.7365163564682007
capital-common-countries,Cairo,Egypt,Tehran,Iran,Iran,0.8531844019889832
capital-common-countries,Cairo,Egypt,Tokyo,Japan,Japan,0.7753520011901855
capital-common-countries,Cairo,Egypt,Athens,Greece,Greece,0.7355356216430664
capital-common-countries,Cairo,Egypt,Baghdad,Iraq,Iraqi,0.7208045125007629
capital-common-countries,Cairo,Egypt,Bangkok,Thailand,Thailand,0.8275743126869202
capital-common-countries,Cairo,Egypt,Beijing,China,China,0.8066044449806213
capital-common-countries,Cairo,Egypt,Berlin,Germany,Germany,0.7016906142234802
capital-common-countries,Cairo,Egypt,Bern,Switzerland,Switzerland,0.49304065108299255
capital-common-countries,Canberra,Australia,Hanoi,Vietnam,Viet_Nam,0.6714490652084351
capital-common-countries,Canberra,Australia,Havana,Cuba,Cuba,0.6964417695999146
capital-common-countries,Canberra,Australia,Helsinki,Finland,Finland,0.6906550526618958
capital-common-countries,Canberra,Australia,Islamabad,Pakistan,Pakistan,0.7743954658508301
capital-common-countries,Canberra,Australia,Kabul,Afghanistan,Afghans,0.585472047328949
capital-common-countries,Canberra,Australia,London,England,UK,0.6224532723426819
capital-common-countries,Canberra,Australia,Madrid,Spain,Spain,0.7410277724266052
capital-common-countries,Canberra,Australia,Moscow,Russia,Russia,0.7891087532043457
capital-common-countries,Canberra,Australia,Oslo,Norway,Norway,0.670374870300293
capital-common-countries,Canberra,Australia,Ottawa,Canada,Canada,0.7492120265960693
capital-common-countries,Canberra,Australia,Paris,France,France,0.7159997820854187
capital-common-countries,Canberra,Australia,Rome,Italy,Italy,0.6639474034309387
capital-common-countries,Canberra,Australia,Stockholm,Sweden,Sweden,0.7069719433784485
capital-common-countries,Canberra,Australia,Tehran,Iran,Iran,0.7551096677780151
capital-common-countries,Canberra,Australia,Tokyo,Japan,Japan,0.7584798336029053
capital-common-countries,Canberra,Australia,Athens,Greece,Greece,0.5700703263282776
capital-common-countries,Canberra,Australia,Baghdad,Iraq,Mosul,0.6397026777267456
capital-common-countries,Canberra,Australia,Bangkok,Thailand,Thailand,0.7358658909797668
capital-common-countries,Canberra,Australia,Beijing,China,China,0.7823367118835449
capital-common-countries,Canberra,Australia,Berlin,Germany,Germany,0.7441057562828064
capital-common-countries,Canberra,Australia,Bern,Switzerland,Switzerland,0.5360245108604431
capital-common-countries,Canberra,Australia,Cairo,Egypt,Egypt,0.6859405636787415
capital-common-countries,Hanoi,Vietnam,Havana,Cuba,Cuba,0.68318110704422
capital-common-countries,Hanoi,Vietnam,Helsinki,Finland,Finland,0.5732651948928833
capital-common-countries,Hanoi,Vietnam,Islamabad,Pakistan,Pakistan,0.7073385715484619
capital-common-countries,Hanoi,Vietnam,Kabul,Afghanistan,Afghanistan,0.7566174864768982
capital-common-countries,Hanoi,Vietnam,London,England,Britain,0.5320746302604675
capital-common-countries,Hanoi,Vietnam,Madrid,Spain,Spain,0.6318689584732056
capital-common-countries,Hanoi,Vietnam,Moscow,Russia,Russia,0.6925882697105408
capital-common-countries,Hanoi,Vietnam,Oslo,Norway,Norway,0.5300315618515015
capital-common-countries,Hanoi,Vietnam,Ottawa,Canada,Canada,0.5802633762359619
capital-common-countries,Hanoi,Vietnam,Paris,France,France,0.5821923613548279
capital-common-countries,Hanoi,Vietnam,Rome,Italy,Italy,0.5208399295806885
capital-common-countries,Hanoi,Vietnam,Stockholm,Sweden,Sweden,0.5909289717674255
capital-common-countries,Hanoi,Vietnam,Tehran,Iran,Iran,0.7381365299224854
capital-common-countries,Hanoi,Vietnam,Tokyo,Japan,Japan,0.6836792826652527
capital-common-countries,Hanoi,Vietnam,Athens,Greece,Greece,0.5295498967170715
capital-common-countries,Hanoi,Vietnam,Baghdad,Iraq,Iraq,0.7784610986709595
capital-common-countries,Hanoi,Vietnam,Bangkok,Thailand,Thailand,0.6948618292808533
capital-common-countries,Hanoi,Vietnam,Beijing,China,China,0.7234393954277039
capital-common-countries,Hanoi,Vietnam,Berlin,Germany,Germany,0.5970560908317566
capital-common-countries,Hanoi,Vietnam,Bern,Switzerland,Bern_NC,0.497576504945755
capital-common-countries,Hanoi,Vietnam,Cairo,Egypt,Egypt,0.70243239402771
capital-common-countries,Hanoi,Vietnam,Canberra,Australia,Australia,0.6169842481613159
capital-common-countries,Havana,Cuba,Helsinki,Finland,Finland,0.6971813440322876
capital-common-countries,Havana,Cuba,Islamabad,Pakistan,Pakistan,0.8123713731765747
capital-common-countries,Havana,Cuba,Kabul,Afghanistan,Afghanistan,0.709291934967041
capital-common-countries,Havana,Cuba,London,England,Britain,0.6217109560966492
capital-common-countries,Havana,Cuba,Madrid,Spain,Spain,0.6929836273193359
capital-common-countries,Havana,Cuba,Moscow,Russia,Russia,0.8237830400466919
capital-common-countries,Havana,Cuba,Oslo,Norway,Norway,0.7030717134475708
capital-common-countries,Havana,Cuba,Ottawa,Canada,Canada,0.6562575697898865
capital-common-countries,Havana,Cuba,Paris,France,France,0.6843083500862122
capital-common-countries,Havana,Cuba,Rome,Italy,Italy,0.6025850772857666
capital-common-countries,Havana,Cuba,Stockholm,Sweden,Sweden,0.7303111553192139
capital-common-countries,Havana,Cuba,Tehran,Iran,Iran,0.8635511994361877
capital-common-countries,Havana,Cuba,Tokyo,Japan,Japan,0.7725999355316162
capital-common-countries,Havana,Cuba,Athens,Greece,Greece,0.6323992013931274
capital-common-countries,Havana,Cuba,Baghdad,Iraq,Iraq,0.7371043562889099
capital-common-countries,Havana,Cuba,Bangkok,Thailand,Thailand,0.7950247526168823
capital-common-countries,Havana,Cuba,Beijing,China,China,0.7704687118530273
capital-common-countries,Havana,Cuba,Berlin,Germany,Germany,0.6952271461486816
capital-common-countries,Havana,Cuba,Bern,Switzerland,Switzerland,0.5027072429656982
capital-common-countries,Havana,Cuba,Cairo,Egypt,Egypt,0.7647275328636169
capital-common-countries,Havana,Cuba,Canberra,Australia,Australia,0.6877732276916504
capital-common-countries,Havana,Cuba,Hanoi,Vietnam,Viet_Nam,0.7109317183494568
capital-common-countries,Helsinki,Finland,Islamabad,Pakistan,Pakistan,0.7291181087493896
capital-common-countries,Helsinki,Finland,Kabul,Afghanistan,Afghan,0.6359645128250122
capital-common-countries,Helsinki,Finland,London,England,Britain,0.6623522639274597
capital-common-countries,Helsinki,Finland,Madrid,Spain,Spain,0.7539467811584473
capital-common-countries,Helsinki,Finland,Moscow,Russia,Russia,0.7918932437896729
capital-common-countries,Helsinki,Finland,Oslo,Norway,Norway,0.752316951751709
capital-common-countries,Helsinki,Finland,Ottawa,Canada,Canada,0.6696932315826416
capital-common-countries,Helsinki,Finland,Paris,France,France,0.7549223303794861
capital-common-countries,Helsinki,Finland,Rome,Italy,Italy,0.6867628693580627
capital-common-countries,Helsinki,Finland,Stockholm,Sweden,Sweden,0.8256369829177856
capital-common-countries,Helsinki,Finland,Tehran,Iran,Iran,0.7732709646224976
capital-common-countries,Helsinki,Finland,Tokyo,Japan,Japan,0.8030250668525696
capital-common-countries,Helsinki,Finland,Athens,Greece,Greece,0.6566226482391357
capital-common-countries,Helsinki,Finland,Baghdad,Iraq,Mosul,0.6506971716880798
capital-common-countries,Helsinki,Finland,Bangkok,Thailand,Thailand,0.752036452293396
capital-common-countries,Helsinki,Finland,Beijing,China,China,0.7568842172622681
capital-common-countries,Helsinki,Finland,Berlin,Germany,Germany,0.7419475317001343
capital-common-countries,Helsinki,Finland,Bern,Switzerland,Switzerland,0.5047451257705688
capital-common-countries,Helsinki,Finland,Cairo,Egypt,Egypt,0.7302725911140442
capital-common-countries,Helsinki,Finland,Canberra,Australia,Australia,0.6987783908843994
capital-common-countries,Helsinki,Finland,Hanoi,Vietnam,Viet_Nam,0.6931596398353577
capital-common-countries,Helsinki,Finland,Havana,Cuba,Cuba,0.6899740099906921
capital-common-countries,Islamabad,Pakistan,Kabul,Afghanistan,Afghan,0.7332905530929565
capital-common-countries,Islamabad,Pakistan,London,England,Britain,0.6056548357009888
capital-common-countries,Islamabad,Pakistan,Madrid,Spain,Spain,0.6914530992507935
capital-common-countries,Islamabad,Pakistan,Moscow,Russia,Russia,0.831927478313446
capital-common-countries,Islamabad,Pakistan,Oslo,Norway,Norway,0.6795673966407776
capital-common-countries,Islamabad,Pakistan,Ottawa,Canada,Canada,0.6421676874160767
capital-common-countries,Islamabad,Pakistan,Paris,France,France,0.6944429874420166
capital-common-countries,Islamabad,Pakistan,Rome,Italy,Italy,0.6518086791038513
capital-common-countries,Islamabad,Pakistan,Stockholm,Sweden,Sweden,0.7098783850669861
capital-common-countries,Islamabad,Pakistan,Tehran,Iran,Iran,0.8605974316596985
capital-common-countries,Islamabad,Pakistan,Tokyo,Japan,Japan,0.7747603058815002
capital-common-countries,Islamabad,Pakistan,Athens,Greece,Greece,0.6418431401252747
capital-common-countries,Islamabad,Pakistan,Baghdad,Iraq,Iraqi,0.74811190366745
capital-common-countries,Islamabad,Pakistan,Bangkok,Thailand,Thailand,0.7783140540122986
capital-common-countries,Islamabad,Pakistan,Beijing,China,China,0.8079828023910522
capital-common-countries,Islamabad,Pakistan,Berlin,Germany,Germany,0.7216539978981018
capital-common-countries,Islamabad,Pakistan,Bern,Switzerland,Switzerland,0.49683260917663574
capital-common-countries,Islamabad,Pakistan,Cairo,Egypt,Egypt,0.7879177927970886
capital-common-countries,Islamabad,Pakistan,Canberra,Australia,Australia,0.7616326808929443
capital-common-countries,Islamabad,Pakistan,Hanoi,Vietnam,Viet_Nam,0.7534357309341431
capital-common-countries,Islamabad,Pakistan,Havana,Cuba,Cuba,0.7958502173423767
capital-common-countries,Islamabad,Pakistan,Helsinki,Finland,Finland,0.693510115146637
capital-common-countries,Kabul,Afghanistan,London,England,EURASIAN_NATURAL_RESOURCES_CORP.,0.5547584891319275
capital-common-countries,Kabul,Afghanistan,Madrid,Spain,Spain,0.6156005859375
capital-common-countries,Kabul,Afghanistan,Moscow,Russia,Russia,0.7199913859367371
capital-common-countries,Kabul,Afghanistan,Oslo,Norway,Norway,0.5757439136505127
capital-common-countries,Kabul,Afghanistan,Ottawa,Canada,Ontario,0.551449179649353
capital-common-countries,Kabul,Afghanistan,Paris,France,France,0.6088169813156128
capital-common-countries,Kabul,Afghanistan,Rome,Italy,Italy,0.5375437140464783
capital-common-countries,Kabul,Afghanistan,Stockholm,Sweden,Sweden,0.5849066376686096
capital-common-countries,Kabul,Afghanistan,Tehran,Iran,Iran,0.7807148694992065
capital-common-countries,Kabul,Afghanistan,Tokyo,Japan,Japan,0.6695030927658081
capital-common-countries,Kabul,Afghanistan,Athens,Greece,Greece,0.5494598746299744
capital-common-countries,Kabul,Afghanistan,Baghdad,Iraq,Iraq,0.8607981204986572
capital-common-countries,Kabul,Afghanistan,Bangkok,Thailand,Thailand,0.6891649961471558
capital-common-countries,Kabul,Afghanistan,Beijing,China,China,0.6837893128395081
capital-common-countries,Kabul,Afghanistan,Berlin,Germany,Germany,0.6105466485023499
capital-common-countries,Kabul,Afghanistan,Bern,Switzerland,Bern_NC,0.42338475584983826
capital-common-countries,Kabul,Afghanistan,Cairo,Egypt,Egypt,0.6705427169799805
capital-common-countries,Kabul,Afghanistan,Canberra,Australia,Mr_Rudd,0.6034548282623291
capital-common-countries,Kabul,Afghanistan,Hanoi,Vietnam,Vietnam,0.7514270544052124
capital-common-countries,Kabul,Afghanistan,Havana,Cuba,Cuba,0.7205934524536133
capital-common-countries,Kabul,Afghanistan,Helsinki,Finland,Finland,0.5768634080886841
capital-common-countries,Kabul,Afghanistan,Islamabad,Pakistan,Pakistan,0.7463313341140747
capital-common-countries,London,England,Madrid,Spain,Spain,0.6087852716445923
capital-common-countries,London,England,Moscow,Russia,Russia,0.6502716541290283
capital-common-countries,London,England,Oslo,Norway,Norway,0.5689430236816406
capital-common-countries,London,England,Ottawa,Canada,Canada,0.5256192684173584
capital-common-countries,London,England,Paris,France,France,0.6676379442214966
capital-common-countries,London,England,Rome,Italy,Italy,0.5715967416763306
capital-common-countries,London,England,Stockholm,Sweden,Sweden,0.6610991358757019
capital-common-countries,London,England,Tehran,Iran,Iran,0.6443779468536377
capital-common-countries,London,England,Tokyo,Japan,Japan,0.6889491081237793
capital-common-countries,London,England,Athens,Greece,Greece,0.5293721556663513
capital-common-countries,London,England,Baghdad,Iraq,Iraqi,0.5854012966156006
capital-common-countries,London,England,Bangkok,Thailand,Thailand,0.6264095306396484
capital-common-countries,London,England,Beijing,China,China,0.6181186437606812
capital-common-countries,London,England,Berlin,Germany,Germany,0.5952338576316833
capital-common-countries,London,England,Bern,Switzerland,Hanover,0.4530367851257324
capital-common-countries,London,England,Cairo,Egypt,Egypt,0.5641492009162903
capital-common-countries,London,England,Canberra,Australia,Australia,0.6054890751838684
capital-common-countries,London,England,Hanoi,Vietnam,Viet_Nam,0.5810423493385315
capital-common-countries,London,England,Havana,Cuba,Cuba,0.5627489686012268
capital-common-countries,London,England,Helsinki,Finland,Finland,0.6215444207191467
capital-common-countries,London,England,Islamabad,Pakistan,Pakistan,0.6654638051986694
capital-common-countries,London,England,Kabul,Afghanistan,Afghan,0.5733120441436768
capital-common-countries,Madrid,Spain,Moscow,Russia,Russia,0.8136782050132751
capital-common-countries,Madrid,Spain,Oslo,Norway,Norway,0.7230186462402344
capital-common-countries,Madrid,Spain,Ottawa,Canada,Canada,0.6814807653427124
capital-common-countries,Madrid,Spain,Paris,France,France,0.7609946727752686
capital-common-countries,Madrid,Spain,Rome,Italy,Italy,0.7004685997962952
capital-common-countries,Madrid,Spain,Stockholm,Sweden,Sweden,0.7822341918945312
capital-common-countries,Madrid,Spain,Tehran,Iran,Iran,0.7588755488395691
capital-common-countries,Madrid,Spain,Tokyo,Japan,Japan,0.8010953664779663
capital-common-countries,Madrid,Spain,Athens,Greece,Greece,0.6898481845855713
capital-common-countries,Madrid,Spain,Baghdad,Iraq,Mosul,0.6579501628875732
capital-common-countries,Madrid,Spain,Bangkok,Thailand,Thailand,0.7701379656791687
capital-common-countries,Madrid,Spain,Beijing,China,China,0.7744125723838806
capital-common-countries,Madrid,Spain,Berlin,Germany,Germany,0.7501679062843323
capital-common-countries,Madrid,Spain,Bern,Switzerland,Switzerland,0.48540329933166504
capital-common-countries,Madrid,Spain,Cairo,Egypt,Egypt,0.7326661348342896
capital-common-countries,Madrid,Spain,Canberra,Australia,Australia,0.706891655921936
capital-common-countries,Madrid,Spain,Hanoi,Vietnam,Viet_Nam,0.7359682321548462
capital-common-countries,Madrid,Spain,Havana,Cuba,Cuba,0.7222690582275391
capital-common-countries,Madrid,Spain,Helsinki,Finland,Finland,0.7638067007064819
capital-common-countries,Madrid,Spain,Islamabad,Pakistan,Pakistan,0.7176594734191895
capital-common-countries,Madrid,Spain,Kabul,Afghanistan,Herat,0.6163390874862671
capital-common-countries,Madrid,Spain,London,England,Britain,0.6784723401069641
capital-common-countries,Moscow,Russia,Oslo,Norway,Norway,0.7606369853019714
capital-common-countries,Moscow,Russia,Ottawa,Canada,Canada,0.7216338515281677
capital-common-countries,Moscow,Russia,Paris,France,France,0.8050409555435181
capital-common-countries,Moscow,Russia,Rome,Italy,Italy,0.7074910998344421
capital-common-countries,Moscow,Russia,Stockholm,Sweden,Sweden,0.805422842502594
capital-common-countries,Moscow,Russia,Tehran,Iran,Iran,0.8776857256889343
capital-common-countries,Moscow,Russia,Tokyo,Japan,Japan,0.8773881196975708
capital-common-countries,Moscow,Russia,Athens,Greece,Greece,0.6744522452354431
capital-common-countries,Moscow,Russia,Baghdad,Iraq,Mosul,0.7155514359474182
capital-common-countries,Moscow,Russia,Bangkok,Thailand,Thailand,0.842517077922821
capital-common-countries,Moscow,Russia,Beijing,China,China,0.8687477707862854
capital-common-countries,Moscow,Russia,Berlin,Germany,Germany,0.777425229549408
capital-common-countries,Moscow,Russia,Bern,Switzerland,Switzerland,0.48516905307769775
capital-common-countries,Moscow,Russia,Cairo,Egypt,Egypt,0.8018569350242615
capital-common-countries,Moscow,Russia,Canberra,Australia,Australia,0.7593483328819275
